DOCUMENT TYPE,INVOICE NUMBER,INVOICE DATE,REMARKS,PREVIOUS BALANCE,NEW INVOICES,PAYMENTS RECEIVED,OUTSTANDING BALANCE
Invoice,6402685461,12/15/25,PARTS-PTAC002272,,25.01,,25.01
Invoice,6402701420,12/16/25,DSP0001232267,,517.00,,517.00
Invoice,6402692810,12/16/25,PARTS-PLAC039568,,1677.50,,1677.50
Invoice,6402692811,12/16/25,PARTS-PNAC007912,,96.52,,96.52
Invoice,6402692812,12/16/25,PARTS-PTAC002493,,209.73,,209.73
Invoice,6402692813,12/16/25,PARTS-PZAC015227,,38.57,,38.57
Invoice,6402704572,12/17/25,PARTS-PCAC006202,,193.52,,193.52
Invoice,6402704571,12/17/25,PARTS-PEAC006532,,96.52,,96.52
Invoice,6402704570,12/17/25,PARTS-PQAC010549,,193.04,,193.04
Invoice,6402704569,12/17/25,PARTS-PTAC002679,,945.32,,945.32
Invoice,6402702581,12/17/25,SO00216676,,1200.00,,1200.00
Invoice,6402717747,12/18/25,PARTS-PQAC011343,,205.80,,205.80
Invoice,6402717746,12/18/25,PARTS-PTAC002896,,461.14,,461.14
Invoice,6402717745,12/18/25,PARTS-PTAC002897,,62.75,,62.75
Invoice,6402717744,12/18/25,PARTS-PTAC002898,,2200.00,,2200.00
Invoice,6402717743,12/18/25,PARTS-PZAC018190,,38.57,,38.57
Invoice,6402727475,12/19/25,PARTS-PTAC003074,,402.52,,402.52
Invoice,6402727474,12/19/25,PARTS-PTAC003075,,1008.35,,1008.35
Invoice,6402727473,12/19/25,PARTS-PZAC019632,,77.14,,77.14
Invoice,6402746924,12/22/25,IS202512,,400.00,,400.00
Invoice,6402739989,12/22/25,PARTS-PTAC003303,,260.98,,260.98
Invoice,6402739988,12/22/25,PARTS-PTAC003304,,26.99,,26.99
Invoice,6402739987,12/22/25,PARTS-PTAC003305,,106.00,,106.00
Invoice,6402751576,12/23/25,PARTS-PLAC057433,,200.00,,200.00
Invoice,6402751575,12/23/25,PARTS-PQAC013747,,258.08,,258.08
Invoice,6402751574,12/23/25,PARTS-PTAC003502,,41.27,,41.27
Invoice,6402759562,12/24/25,PARTS-PSAC001917,,36.21,,36.21
Invoice,6402765002,12/26/25,PARTS-PTAC003708,,363.53,,363.53
Invoice,6402765001,12/26/25,PARTS-PTAC003709,,19.00,,19.00
Invoice,6402765000,12/26/25,PARTS-PTAC003710,,790.14,,790.14
Invoice,6402764999,12/26/25,PARTS-PTAC003711,,0.01,,0.01
Invoice,6402764998,12/26/25,PARTS-PTAC003712,,115.29,,115.29
Invoice,6402774144,12/29/25,PARTS-PQAC015682,,68.78,,68.78
Invoice,6402774143,12/29/25,PARTS-PTAC003976,,756.32,,756.32
Invoice,6402774142,12/29/25,PARTS-PTAC003977,,1014.72,,1014.72
Invoice,6402781785,12/30/25,PARTS-PMAC016876,,2541.97,,2541.97
Invoice,6402781784,12/30/25,PARTS-PTAC004200,,345.21,,345.21
Invoice,6402781783,12/30/25,PARTS-PTAC004201,,155.00,,155.00
Invoice,6402797980,12/31/25,CS0001234913,,840.00,,840.00
Invoice,6502161272,12/31/25,HCUVCON0300037890,,938.00,,938.00
Invoice,6402799215,12/31/25,OCP0001236153,,360.00,,360.00
Invoice,6402791182,12/31/25,PARTS-PMAC017569,,460.24,,460.24
Invoice,6402791181,12/31/25,PARTS-PTAC004397,,106.00,,106.00
Invoice,6402791180,12/31/25,PARTS-PTAC004398,,1798.29,,1798.29
Invoice,6402801376,12/31/25,SLI0162526,,1195.52,,1195.52
